Dates,Dairy Ashford rain,Beltway 8 rain,San Felipe rain,Shepherd rain,Milam rain
8/18/17,0,0,0,0,0
8/19/17,0,0,0,0,0
8/20/17,0,0,0.04,0,0
8/21/17,0,0,0,0,0
8/22/17,0,0,0,0,0
8/23/17,0.04,0,0,0,0
8/24/17,0,0,0,0.2,1.4
8/25/17,1.12,1.2,0.88,0.88,0.88
8/26/17,12.48,12.64,7.76,8.68,9.32
8/27/17,14.96,14.56,12.72,14.76,3.36
8/28/17,5.84,7.32,7.08,6.88,0
8/29/17,1.16,1.36,1.52,2.04,0
8/30/17,0,0,0,0,0
8/31/17,0,0,0,0,0
9/1/17,0,0,0,0,0
9/2/17,0,0,0,0,0
9/3/17,0,0,0,0,0
9/4/17,0,0,0,0,0
9/5/17,0,0,0,0,0
9/6/17,0.04,0.28,0.04,0,0
9/7/17,0,0,0,0,0